country,Ranking,Teaching,International,Research,Citations,Income,Students
Iceland,285,10.7,56.9,17.3,62.4,75.4,13960
Greece,285,13.1,42.6,12.6,66.7,33.2,14650
Egypt,325,15.2,31.6,7.8,61.4,34.5,127431
Chile,375,17.1,45.5,16.3,30.1,29.7,25075
Estonia,375,17.8,42,17.8,34.4,26.3,10269
Portugal,350,18.33,48.63,12.85,35.13,34.03,21293
New Zealand,279.7,19.55,85.3,23.32,42.93,30.22,17829
Spain,293.9,22.91,39.35,16.18,54.53,36.6,32844
Italy,300.7,23.31,33.95,18.51,48.69,41.97,43652
Poland,325,23.35,37.65,15.85,43.7,12.9,46064
Republic of Ireland,270.2,23.38,79.4,19.44,51,31.72,15048
Finland,288.2,26.32,41.8,27.22,47.4,41.68,14555
Denmark,205.6,27.82,71.66,27.42,57.6,60.8,20212
Taiwan,289.9,28.01,17.94,33.2,36.04,55.95,12420
South Africa,211,28.43,63.33,34.5,48.2,99.03,21737
Austria,241.8,28.44,76.04,18.84,50.62,38.46,23902
Norway,230.5,28.45,64.65,26.2,54.08,38.4,16635
Iran,325,28.5,12.7,29.7,19.3,93.1,10977
Turkey,277.5,28.63,31.78,22.28,47.63,51.6,23945
Australia,249.8,29.02,77.81,31.95,42.34,49.14,26554
Thailand,375,29.9,45,14.7,20.9,29,27402
Belgium,213.1,30.73,63.67,32.27,53.76,66.93,24237
Czech Republic,325,32.3,51.4,24.6,31,24.5,51438
Sweden,174.2,34.44,59.17,41.81,56.75,55.64,17851
United Kingdom,187.8,35.15,76.93,35.93,60.59,36.8,16826
France,173.9,35.79,66.46,22.59,76.58,30.03,21079
Netherlands,138.8,36.5,62.13,45.68,60.98,58.8,17375
Germany,196.4,37.37,55.84,28.15,59.04,40.42,27995
Canada,174.3,39.17,62.19,43.71,55.21,47.77,31794
Israel,206.8,40.4,44.75,48.58,32.78,30.53,18237
Hong Kong,165,42.05,69.38,45.4,51.43,51.28,15276
Russian Federation,330,42.75,45.7,23.6,7.05,53,25829
India,325,43.8,14.3,15.7,38.8,24.2,8327
Japan,237.8,44.63,21.16,35.84,39.42,49.84,18885
China,249.7,45.04,25.88,30.47,38.61,68.84,37105
United States of America,150.2,47.35,34.98,44.81,71.32,35.97,24420
Switzerland,84.4,47.6,91.14,44.5,80.47,35.71,15617
South Korea,205.9,47.81,25.04,40.07,40.14,74.21,19430
Singapore,104.5,53.55,91.4,63.4,48.95,52.55,28310
Brazil,231.5,57,21,45.55,17,38.25,54249
