country,Ranking,Income,Teaching,International,Research,Citations,Students
Argentina,700,28.6,16,28.1,9,12.5,108373
Australia,303.7,48.81,28.76,78.17,32.83,60.6,23988
Austria,303.7,48.81,28.76,78.17,32.83,60.6,23988
Bangladesh,303.7,48.81,28.76,78.17,32.83,60.6,23988
Belarus,303.7,48.81,28.76,78.17,32.83,60.6,23988
Belgium,303.7,48.81,28.76,78.17,32.83,60.6,23988
Brazil,303.7,48.81,28.76,78.17,32.83,60.6,23988
Canada,303.7,48.81,28.76,78.17,32.83,60.6,23988
Chile,303.7,48.81,28.76,78.17,32.83,60.6,23988
China,303.7,48.81,28.76,78.17,32.83,60.6,23988
Colombia,303.7,48.81,28.76,78.17,32.83,60.6,23988
Cyprus,303.7,48.81,28.76,78.17,32.83,60.6,23988
Czech Republic,303.7,48.81,28.76,78.17,32.83,60.6,23988
Denmark,303.7,48.81,28.76,78.17,32.83,60.6,23988
Egypt,303.7,48.81,28.76,78.17,32.83,60.6,23988
Estonia,303.7,48.81,28.76,78.17,32.83,60.6,23988
Finland,303.7,48.81,28.76,78.17,32.83,60.6,23988
France,303.7,48.81,28.76,78.17,32.83,60.6,23988
Germany,303.7,48.81,28.76,78.17,32.83,60.6,23988
Ghana,303.7,48.81,28.76,78.17,32.83,60.6,23988
Greece,303.7,48.81,28.76,78.17,32.83,60.6,23988
Hong Kong,303.7,48.81,28.76,78.17,32.83,60.6,23988
Hungary,303.7,48.81,28.76,78.17,32.83,60.6,23988
Iceland,303.7,48.81,28.76,78.17,32.83,60.6,23988
India,303.7,48.81,28.76,78.17,32.83,60.6,23988
Indonesia,303.7,48.81,28.76,78.17,32.83,60.6,23988
Iran,303.7,48.81,28.76,78.17,32.83,60.6,23988
Israel,303.7,48.81,28.76,78.17,32.83,60.6,23988
Italy,303.7,48.81,28.76,78.17,32.83,60.6,23988
Japan,303.7,48.81,28.76,78.17,32.83,60.6,23988
Jordan,303.7,48.81,28.76,78.17,32.83,60.6,23988
Kenya,303.7,48.81,28.76,78.17,32.83,60.6,23988
Latvia,303.7,48.81,28.76,78.17,32.83,60.6,23988
Lebanon,303.7,48.81,28.76,78.17,32.83,60.6,23988
Lithuania,303.7,48.81,28.76,78.17,32.83,60.6,23988
Luxembourg,303.7,48.81,28.76,78.17,32.83,60.6,23988
Macau,303.7,48.81,28.76,78.17,32.83,60.6,23988
Malaysia,303.7,48.81,28.76,78.17,32.83,60.6,23988
Mexico,303.7,48.81,28.76,78.17,32.83,60.6,23988
Morocco,303.7,48.81,28.76,78.17,32.83,60.6,23988
Netherlands,303.7,48.81,28.76,78.17,32.83,60.6,23988
New Zealand,303.7,48.81,28.76,78.17,32.83,60.6,23988
Nigeria,303.7,48.81,28.76,78.17,32.83,60.6,23988
Norway,303.7,48.81,28.76,78.17,32.83,60.6,23988
Oman,303.7,48.81,28.76,78.17,32.83,60.6,23988
Pakistan,303.7,48.81,28.76,78.17,32.83,60.6,23988
Poland,303.7,48.81,28.76,78.17,32.83,60.6,23988
Portugal,303.7,48.81,28.76,78.17,32.83,60.6,23988
Qatar,303.7,48.81,28.76,78.17,32.83,60.6,23988
Republic of Ireland,303.7,48.81,28.76,78.17,32.83,60.6,23988
Romania,303.7,48.81,28.76,78.17,32.83,60.6,23988
Russian Federation,303.7,48.81,28.76,78.17,32.83,60.6,23988
Saudi Arabia,303.7,48.81,28.76,78.17,32.83,60.6,23988
Serbia,303.7,48.81,28.76,78.17,32.83,60.6,23988
Singapore,303.7,48.81,28.76,78.17,32.83,60.6,23988
Slovakia,303.7,48.81,28.76,78.17,32.83,60.6,23988
Slovenia,303.7,48.81,28.76,78.17,32.83,60.6,23988
South Africa,303.7,48.81,28.76,78.17,32.83,60.6,23988
South Korea,303.7,48.81,28.76,78.17,32.83,60.6,23988
Spain,303.7,48.81,28.76,78.17,32.83,60.6,23988
Sweden,303.7,48.81,28.76,78.17,32.83,60.6,23988
Switzerland,303.7,48.81,28.76,78.17,32.83,60.6,23988
Taiwan,303.7,48.81,28.76,78.17,32.83,60.6,23988
Thailand,303.7,48.81,28.76,78.17,32.83,60.6,23988
Turkey,303.7,48.81,28.76,78.17,32.83,60.6,23988
Uganda,303.7,48.81,28.76,78.17,32.83,60.6,23988
Ukraine,303.7,48.81,28.76,78.17,32.83,60.6,23988
United Arab Emirates,625,31.7,15.6,95.3,12.7,17.5,7224
United Kingdom,335.6,33.88,32.17,78.71,30.9,60.78,17665
United States of America,267,41.48,40.9,42.57,37.34,70.68,22574
